positionName,companyFullName,companySize,industryField,financeStage,firstType,secondType,thirdType,positionLables,createTime,city,district,businessZones,salary,workYear,jobNature,education,positionAdvantage
高级产品经理（仓储/物流方向）,广州希音供应链管理有限公司,2000人以上,"电商,移动互联网",C轮,产品|需求|项目类,产品经理,产品经理,['B端产品'],2020-09-04 09:41:29,广州,番禺区,,20k-35k,5-10年,全职,不限,大咖云集 弹性工时 年终补贴
大数据开发,北京点石经纬科技有限公司,500-2000人,"移动互联网,教育",B轮,开发|测试|运维类,数据开发,数据开发,"['教育', 'Hadoop', 'Spark']",2020-09-04 09:41:29,北京,海淀区,"['中关村', '万泉河', '双榆树']",18k-30k,3-5年,全职,本科,发展有前途，管理扁平化
PHP工程师 (MJ000776),广州希音供应链管理有限公司,2000人以上,"电商,移动互联网",C轮,开发|测试|运维类,后端开发,PHP,"['电商', 'Laravel', 'PHP']",2020-09-04 09:41:29,广州,番禺区,,10k-18k,1-3年,全职,本科,技术大咖 扁平管理 氛围年轻 弹性上班
高级交互设计师,北京点石经纬科技有限公司,500-2000人,"移动互联网,教育",B轮,设计类,交互,交互设计师,"['教育', '交互', '用户体验']",2020-09-04 09:41:29,北京,海淀区,"['中关村', '万泉河', '双榆树']",15k-25k,3-5年,全职,本科,发展有前途
项目经理PMO,北京点石经纬科技有限公司,500-2000人,"移动互联网,教育",B轮,产品|需求|项目类,项目管理,PMO,"['教育', '项目管理', 'PMO']",2020-09-04 09:41:29,北京,海淀区,"['中关村', '万泉河', '双榆树']",18k-30k,5-10年,全职,本科,发展有前景
资深前端工程师 (MJ001834),广州希音供应链管理有限公司,2000人以上,"电商,移动互联网",C轮,开发|测试|运维类,前端开发,WEB前端,"['前端开发', 'React native']",2020-09-04 09:41:29,广州,番禺区,,18k-30k,5-10年,全职,本科,技术大咖 氛围活跃 发展前景大
前端工程师-广州（2021届）,广州希音供应链管理有限公司,2000人以上,"电商,移动互联网",C轮,开发|测试|运维类,前端开发,React,"['前端开发', 'React native']",2020-09-04 09:41:29,广州,番禺区,,13k-16k,应届毕业生,全职,本科,行业前景好 氛围轻松 大咖云集 年终补贴
高级Java架构师,互动峰科技（北京）有限公司,500-2000人,医疗丨健康,D轮及以上,开发|测试|运维类,后端开发,Java,"['后端', 'Java', '平台', '服务器端']",2020-09-04 09:42:13,北京,朝阳区,"['定福庄', '管庄']",30k-50k,5-10年,全职,本科,医疗独角兽 食堂管饱 技术大牛
前端架构师,互动峰科技（北京）有限公司,500-2000人,医疗丨健康,D轮及以上,开发|测试|运维类,前端开发,WEB前端,"['电商', 'Web前端', '架构师', 'Node.js', 'Vue']",2020-09-04 09:42:13,北京,朝阳区,"['定福庄', '管庄']",35k-50k,5-10年,全职,本科,挑战大 百万级日活 高并发 高成长
资深搜索产品经理,互动峰科技（北京）有限公司,500-2000人,医疗丨健康,D轮及以上,产品|需求|项目类,产品经理,搜索产品经理,"['搜索', '推荐']",2020-09-04 09:42:13,北京,朝阳区,"['定福庄', '管庄']",20k-40k,3-5年,全职,本科,医疗独角兽 技术大牛 氛围好 年终奖
项目经理（PMO）,深圳市华云中盛科技股份有限公司,500-2000人,"数据服务,移动互联网",不需要融资,产品|需求|项目类,项目管理,项目经理,"['PMO', '项目管理', '风控', '过程管理']",2020-09-04 09:42:12,深圳,南山区,,15k-25k,1-3年,全职,大专,管理岗位
项目助理,深圳市华云中盛科技股份有限公司,500-2000人,"数据服务,移动互联网",不需要融资,产品|需求|项目类,项目管理,项目助理,"['云计算', '大数据', '过程管理', '文档', '风控', '项目管理']",2020-09-04 09:42:12,深圳,南山区,,6k-10k,1-3年,全职,大专,技术管理
销售经理,深圳市华云中盛科技股份有限公司,500-2000人,"数据服务,移动互联网",不需要融资,销售类,销售,销售经理,"['销售', '区域销售', 'BD', 'KA']",2020-09-04 09:42:12,上海,徐汇区,,15k-25k,3-5年,全职,大专,销售岗位 渠道管理 ka
云交付运维,深圳市华云中盛科技股份有限公司,500-2000人,"数据服务,移动互联网",不需要融资,开发|测试|运维类,运维,运维工程师,"['大数据', '云计算', 'Openstack', 'K8s', 'Shell', 'Python']",2020-09-04 09:42:12,深圳,南山区,['科技园'],12k-20k,1-3年,全职,大专,openstack
商务专员（偏销售）,深圳市华云中盛科技股份有限公司,500-2000人,"数据服务,移动互联网",不需要融资,市场|商务类,市场|营销,商务专员,"['云计算', '移动互联网', '营销', '市场竞争分析', '行业分析']",2020-09-04 09:42:11,深圳,南山区,,5k-10k,1-3年,全职,大专,接待 商务 市场分析
cocos游戏开发工程师,广州简知信息科技有限公司,150-500人,"移动互联网,文娱丨内容",A轮,开发|测试|运维类,移动前端开发,COCOS2D-X,"['游戏', '教育']",2020-09-04 09:42:09,广州,天河区,"['珠江新城', '沙河']",15k-25k,3-5年,全职,本科,周末双休、季度奖金、年终奖
课程策划,广州简知信息科技有限公司,150-500人,"移动互联网,文娱丨内容",A轮,运营|编辑|客服类,运营,内容运营,"['教育', '付费内容']",2020-09-04 09:42:09,广州,天河区,"['珠江新城', '沙河']",8k-12k,1-3年,全职,本科,周末双休，年终奖
高级软件测试工程师,广州简知信息科技有限公司,150-500人,"移动互联网,文娱丨内容",A轮,开发|测试|运维类,测试,测试工程师,"['功能测试', 'app测试', 'Web测试']",2020-09-04 09:42:09,广州,天河区,"['珠江新城', '沙河']",10k-15k,3-5年,全职,本科,周末双休，年终奖、季度奖金
ios高级开发工程师,广州简知信息科技有限公司,150-500人,"移动互联网,文娱丨内容",A轮,开发|测试|运维类,移动前端开发,IOS,"['教育', '移动互联网', '移动端', 'iOS']",2020-09-04 09:42:08,广州,天河区,"['珠江新城', '沙河']",10k-20k,3-5年,全职,本科,周末双休、季度奖金、年终奖
android高级开发工程师,广州简知信息科技有限公司,150-500人,"移动互联网,文娱丨内容",A轮,开发|测试|运维类,移动前端开发,Android,"['教育', '移动端', 'Android']",2020-09-04 09:42:08,广州,天河区,"['珠江新城', '沙河']",10k-20k,3-5年,全职,本科,周末双休、大牛多、年终奖
